qid,cid,relevance,label_source,notes
sbert-v2-profile-04200,sbert-v2-job-e7cd95e2b00ebe551529,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04200,sbert-v2-job-27c0d6cbe2c00289cbdb,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-fa01dd2dd64d90480e6c,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-60da1689958b2410942e,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-7415a363fe29b708b3c8,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-225f6095d59b2b54815f,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-ff9797a42d8e554729d9,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-35085ddccb426c69932d,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-4e74ee66b0b8b1167183,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-f434f3c7cb447ccd1517,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04200,sbert-v2-job-3f753b5436588121e99c,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-c8303599ec5006a86994,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04201,sbert-v2-job-daf63a1676fa62e5899d,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-33e131526a39fe53e9a0,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-412cdb372311dfa5833d,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-98ca64340722a15a183d,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-8cece8409cb608af55bc,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-b1bdfa787b70aab81263,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-2686cbd4f18cceeb1337,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-a49024881273726ff0ea,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-cb4718073c61a23f7417,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04201,sbert-v2-job-220b0c4219dd3671f1c3,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-be2020f020e1c64fce52,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04202,sbert-v2-job-767208cc626dab1de380,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-9e8e78f6d6c3cfe2c022,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-e662619c4cc3404510e4,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-6c846c14194c68ad954e,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-eb96769248e6c3f30595,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-83ae0571e108c700132d,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-e65c7747f11300cc6949,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-d063ad6584ed25ca3feb,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04202,sbert-v2-job-51976a1749ec71667117,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
