gateway-1  | WARNING:passlib.handlers.bcrypt:(trapped) error reading bcrypt version
gateway-1  | Traceback (most recent call last):
gateway-1  |   File "/usr/local/lib/python3.11/site-packages/passlib/handlers/bcrypt.py", line 620, in _load_backend_mixin
gateway-1  |     version = _bcrypt.__about__.__version__
gateway-1  |               ^^^^^^^^^^^^^^^^^
gateway-1  | AttributeError: module 'bcrypt' has no attribute '__about__'
gateway-1  | INFO:     172.18.0.1:59320 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59322 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59324 - "POST /api/auth/login HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59340 - "POST /api/auth/register HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59350 - "POST /api/auth/register HTTP/1.1" 409 Conflict
gateway-1  | INFO:     172.18.0.1:59364 - "POST /api/auth/login HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59372 - "GET / HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59378 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: GET http://pipeline:8005/health "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59392 - "GET /ready HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59408 - "GET /api/company-logo?url=http%3A%2F%2F127.0.0.1%2Flogo.png&company=Probe HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:59414 - "GET /api/skills/search?q=python&limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59422 - "GET /api/skills/search?q=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59426 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59432 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59442 - "GET /api/auth/me HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59446 - "GET /api/profile/completeness HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59452 - "GET /api/profile/completeness HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/480c6c5e-63c5-412d-bd0f-33859ed546f5 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59454 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/480c6c5e-63c5-412d-bd0f-33859ed546f5 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59470 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59472 - "PUT /api/profile HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/feedback "HTTP/1.1 422 Unprocessable Entity"
gateway-1  | INFO:scpa.gateway:feedback_outbox_retry summary={'attempted': 1, 'sent': 0, 'failed': 1}
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/480c6c5e-63c5-412d-bd0f-33859ed546f5 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59488 - "PUT /api/profile/onboarding HTTP/1.1" 200 OK
