gateway-1  | INFO:     172.18.0.1:59512 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59528 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59542 - "POST /api/auth/login HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59550 - "POST /api/auth/register HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59562 - "POST /api/auth/register HTTP/1.1" 409 Conflict
gateway-1  | INFO:     172.18.0.1:59572 - "POST /api/auth/login HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59578 - "GET / HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59584 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: GET http://pipeline:8005/health "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59594 - "GET /ready HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59596 - "GET /api/company-logo?url=http%3A%2F%2F127.0.0.1%2Flogo.png&company=Probe HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:59604 - "GET /api/skills/search?q=python&limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59618 - "GET /api/skills/search?q=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59622 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59636 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59642 - "GET /api/auth/me HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59648 - "GET /api/profile/completeness HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59662 - "GET /api/profile/completeness HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/f35b415f-1e39-4ef7-8016-7bd83ca7b5c8 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59678 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/f35b415f-1e39-4ef7-8016-7bd83ca7b5c8 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59680 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59682 - "PUT /api/profile HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/f35b415f-1e39-4ef7-8016-7bd83ca7b5c8 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59692 - "PUT /api/profile/onboarding HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59698 - "PUT /api/profile/onboarding HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/f35b415f-1e39-4ef7-8016-7bd83ca7b5c8 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59702 - "POST /api/profile/cv HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59716 - "POST /api/profile/cv HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59720 - "POST /api/profile/certificates HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59736 - "GET /api/jobs?limit=3 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59742 - "GET /api/jobs?page=0 HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59758 - "GET /api/jobs/09442211-b541-5235-a102-ca4b619faa81 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59760 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59772 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59774 - "DELETE /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59790 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/skip HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59800 - "GET /api/jobs/09442211-b541-5235-a102-ca4b619faa81/skill-gap HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59806 - "GET /api/jobs/9923f80f-2d33-44f7-9908-371abc86d706 HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:59816 - "GET /api/jobs/saved HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59830 - "GET /api/jobs/saved HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59832 - "GET /api/applications HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59846 - "GET /api/applications HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59854 - "POST /api/applications HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59864 - "POST /api/applications HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59868 - "POST /api/applications HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:59870 - "GET /api/market-demand HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59880 - "GET /api/market-demand?limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59892 - "GET /api/job-alerts HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59898 - "GET /api/job-alerts HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59904 - "POST /api/job-alerts HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59914 - "POST /api/job-alerts HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:59928 - "PUT /api/job-alerts/4 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59944 - "DELETE /api/job-alerts/4 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59952 - "DELETE /api/job-alerts/999999999 HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:59968 - "POST /api/recommendations HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59980 - "POST /api/recommendations HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     127.0.0.1:50200 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59986 - "POST /api/recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59998 - "POST /recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42638 - "POST /api/recommendations/feedback HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42652 - "POST /api/recommendations/feedback HTTP/1.1" 422 Unprocessable Entity
